url,label,kategori
https://www.digitalfoundry.net/news/2026/05/valve-releases-steam-controller-cad-files-under-creative-commons-license,safe,Live Safe (Tech News)
https://nooneshappy.com/article/appearing-productive-in-the-workplace/,safe,Live Safe (Tech News)
https://permacomputing.net/principles/,safe,Live Safe (Tech News)
https://aniket.foo/posts/20260505-netboot/,safe,Live Safe (Tech News)
https://sqlite.org/locrsf.html,safe,Live Safe (Tech News)
https://simonwillison.net/2026/May/6/vibe-coding-and-agentic-engineering/,safe,Live Safe (Tech News)
https://arxiv.org/abs/2605.03546,safe,Live Safe (Tech News)
https://www.chevrolet.com/performance-parts/crate-engines/ecrate,safe,Live Safe (Tech News)
https://github.com/darkrishabh/agent-skills-eval,safe,Live Safe (Tech News)
https://shkspr.mobi/blog/2026/05/rss-feeds-send-me-more-traffic-than-google/,safe,Live Safe (Tech News)
https://www.quantamagazine.org/the-hidden-mathematical-dance-inside-plant-cells-20260504/,safe,Live Safe (Tech News)
https://blog.val.town/better-auth,safe,Live Safe (Tech News)
https://cloud.google.com/blog/products/identity-security/introducing-google-cloud-fraud-defense-the-next-evolution-of-recaptcha/,safe,Live Safe (Tech News)
https://www.vatican.va/latin/latin_index.html,safe,Live Safe (Tech News)
https://mendelgreenberg.com/posts/ourcar/,safe,Live Safe (Tech News)
https://apnews.com/article/pen-pals-letters-comeback-bc87e1b9c229665bafd368e19751d6ca,safe,Live Safe (Tech News)
https://unsung.aresluna.org/photoshops-challenges-with-focus-pt-2/,safe,Live Safe (Tech News)
http://halupedia.com/,safe,Live Safe (Tech News)
https://github.com/crosspoint-reader/crosspoint-reader,safe,Live Safe (Tech News)
https://www.stvn.sh/writing/programming-still-sucks-fqffhyp,safe,Live Safe (Tech News)
https://tilde.run/,safe,Live Safe (Tech News)
https://jayakody2000lk.blogspot.com/2026/05/building-td4-4-bit-cpu.html,safe,Live Safe (Tech News)
https://leetusman.com/nosebook/yvi,safe,Live Safe (Tech News)
https://sander.ai/2026/05/06/flow-maps.html,safe,Live Safe (Tech News)
https://www.lttlabs.com/articles/2026/05/05/testing-psu-series,safe,Live Safe (Tech News)
https://ads.apple.com/maps,safe,Live Safe (Tech News)
https://yibo-fu.com/SoundOff-Low-cost-Passive-Ultrasound-Tags-for-Non-invasive-and-Non,safe,Live Safe (Tech News)
https://elonlit.com/scrivings/a-theory-of-deep-learning/,safe,Live Safe (Tech News)
https://www.cnn.com/2026/05/06/us/ted-turner-death,safe,Live Safe (Tech News)
https://www.noetik.blog/p/perturb-mars-reading-mouse-experiments,safe,Live Safe (Tech News)
http://www.watrbx.wtf/newlogin,phishing,Mixed Content
http://gemini.200399.xyz/,phishing,Suspicious TLDs
https://txdmv.uphsx.shop/pay/a_index.html/,phishing,Typosquatting
https://ad-account-authentication-office.pages.dev/e-zpass-us/about-/,phishing,Credential Harvesting
https://www.whatsapp.blogspot.com/,phishing,Typosquatting
http://whatsapp.blogspot.com/,phishing,Mixed Content
https://member131.digital-agency-partners.com/,phishing,Typosquatting
http://member439.meta-agency-center.com/,phishing,Mixed Content
http://meta-authorized.invoice-ads-program.com/,phishing,Mixed Content
https://projeto-dio.vercel.app/pages/login.html/,phishing,Credential Harvesting
https://meta-payment.bussines-partner-agency.com/,phishing,Typosquatting
https://ledgerlive-nanox-customer-supportcd.vercel.app/ledger%20form/index.html/,phishing,Typosquatting
https://eric-87849-brown.pages.dev/help/contact/493578017371537,phishing,Typosquatting
http://att-agent-transformation-9899ff6587db.herokuapp.com/,phishing,Mixed Content
https://jcs7logistica.com.br/domainalltozz/mnmnznmzupdate.html?eta=miris1@8bda2a4ca78ceaa15060880f15a394b3a90a.com/,phishing,Mixed Content
https://oseusproblemascomlimitacabou.s3.us-east-005.backblazeb2.com/aumento.html,phishing,Excessive Subdomains
https://saldoturbinadodispinivel.s3.us-east-005.backblazeb2.com/aumento.html,phishing,Excessive Subdomains
https://reservademaio.s3.us-east-005.backblazeb2.com/aumento.html,phishing,Excessive Subdomains
https://picassolife.com/.well-known/-/KJksjsj/login.php/,phishing,Credential Harvesting
https://meta-business.bussines-partner-agency.com/,phishing,Typosquatting
https://meta-id.bussines-partner-agency.com/,phishing,Typosquatting
https://tet.bussines-partner-agency.com/,phishing,Typosquatting
http://meta-me.bussines-partner-agency.com/,phishing,Mixed Content
https://eric-87849-brown.pages.dev/help/contact/732995290463340,phishing,Typosquatting
https://emma-jack84756.pages.dev/help/contact/73620039444106,phishing,Typosquatting
https://instaclone-sigma-one.vercel.app/,phishing,Typosquatting
https://eric-87849-brown.pages.dev/help/contact/528680729853547,phishing,Typosquatting
https://eric-87849-brown.pages.dev/help/contact/462861315676195,phishing,Typosquatting
https://eric-87849-brown.pages.dev/help/contact/4096719048244,phishing,Typosquatting
https://david-houston3871349889.pages.dev/help/contact/408531837326086,phishing,Typosquatting
http://member07.marketing-agency-network.com/,phishing,Mixed Content
https://www.roblox.com.bn/users/509154256118/profile,phishing,Typosquatting
https://soporte-mx-mydevicelost.com/ICL26,phishing,Typosquatting
http://reportesatelital.com/ICL26,phishing,Mixed Content
https://request-meta.invoice-ads-manager.com/,phishing,Typosquatting
https://www.amazon-clone-teal-three.vercel.app/,phishing,Typosquatting
http://www.coimwbaswprowlogw.godaddysites.com/,phishing,Mixed Content
https://coimwbaswprowlogw.godaddysites.com/,phishing,Typosquatting
https://www.apple-clone-flame.vercel.app/,phishing,Typosquatting
http://www.program-resmi67.blogspot.com/,phishing,Mixed Content
https://www.netflix-clone-taupe-two.vercel.app/,phishing,Typosquatting
https://ledgerlive-nanox-customer-supportcd.vercel.app/ledger%20form/verify.html,phishing,Credential Harvesting
https://meta-help.invoice-ads-process.com/,phishing,Typosquatting
https://invoice-meta.invoice-ads-manager.com/,phishing,Typosquatting
https://meta-system.invoice-ads-process.com/,phishing,Typosquatting
https://dhananjkrishna.github.io/netflix/,phishing,Typosquatting
https://facebook-active.invoice-ads-manager.com/,phishing,Typosquatting
https://facebook-billing.invoice-ads-manager.com/,phishing,Typosquatting
https://bhdenlinea777servicios.iceiy.com/,phishing,Typosquatting
https://s-sabrinaa.github.io/Clone-UI-Login-Spotify,phishing,Credential Harvesting
https://meta-profile.invoice-ads-process.com/,phishing,Typosquatting
